Game Name	 North America 	 Europe 	 Japan 
The Order: 1886 (PlayStation 4)	0.24	0.18	0.03
The Legend of Zelda: Majora's Mask 3D (Nintendo 3DS)	0.49	0.24	0.31
MineCraft (Xbox 360)	4.34	2.15	0.02
Monster Hunter 4 Ultimate (Nintendo 3DS)	0.25	0.12	2.49
Super Smash Bros. for Wii U and 3DS (Nintendo 3DS)	2.44	0.88	2.18
Grand Theft Auto V (PlayStation 4)	2.09	2.64	0.16
Call of Duty: Advanced Warfare (PlayStation 4)	2.32	2.58	0.11
Dead or Alive 5 (PlayStation 4)	0.02	0.02	0.02
Far Cry 4 (PlayStation 4)	0.74	1.49	0.06
Pokemon Omega Ruby/Pokemon Alpha Sapphire (Nintendo 3DS)	3.04	1.73	2.69